Order ID,Date,Product,Region,Units,Revenue,Channel
SO-2121,13-Mar-2025,Beacon Lamp,W.,6,2115.83,Wholesale
SO-2122,21-Mar-2025,Fjord Table,north,9,2933.72,Online
SO-2123,22-Mar-2025,Beacon Lamp,west,8,1624.84,Wholesale
SO-2124,19-Mar-2025,Delta Chair,East,11,"$3,964.74",Wholesale
SO-2125,07-Mar-2025,Delta Chair,West,11,5970.82,Wholesale
SO-2126,16-Mar-2025,Beacon Lamp,South,12,1726.82,Retail
SO-2127,21-Mar-2025,Echo Desk,East,9,1655.48,Wholesale
SO-2128,23-Mar-2025,Aurora Lamp,E.,2,307.62,Online
SO-2129,28-Mar-2025,Echo Desk,S.,7,3018.29,Wholesale
SO-2130,23-Mar-2025,Delta Chair,E.,12,"$1,690.68",Retail
SO-2131,24-Mar-2025,Delta Chair,West,15,6233.98,Wholesale
SO-2132,02-Mar-2025,Fjord Table,west,5,1842.52,Wholesale
SO-2133,09-Mar-2025,Cedar Shelf,east,6,2019.50,Wholesale
SO-2134,08-Mar-2025,Beacon Lamp,South,2,454.82,Online
SO-2135,20-Mar-2025,Echo Desk,south,10,3348.19,Online
SO-2136,06-Mar-2025,Aurora Lamp,N.,8,4021.51,Online
SO-2137,05-Mar-2025,Delta Chair,west,8,3839.61,Online
SO-2138,13-Mar-2025,Echo Desk,W.,11,"$3,198.83",Retail
SO-2139,11-Mar-2025,Aurora Lamp,S.,9,"$4,538.37",Online
SO-2140,16-Mar-2025,Aurora Lamp,W.,6,2085.02,Retail
SO-2141,19-Mar-2025,Aurora Lamp,West,13,6096.87,Retail
SO-2142,15-Mar-2025,Beacon Lamp,E.,8,717.67,Retail
SO-2143,02-Mar-2025,Delta Chair,west,13,2579.06,Retail
SO-2144,09-Mar-2025,Beacon Lamp,N.,12,"$4,340.24",Retail
SO-2145,14-Mar-2025,Echo Desk,West,13,7357.59,Retail
SO-2146,27-Mar-2025,Cedar Shelf,south,6,"$3,065.99",Retail
SO-2147,22-Mar-2025,Fjord Table,West,11,$995.69,Online
SO-2148,13-Mar-2025,Delta Chair,west,13,"$6,661.54",Online
SO-2149,24-Mar-2025,Echo Desk,East,13,"$6,703.32",Online
SO-2150,17-Mar-2025,Beacon Lamp,E.,7,2357.07,Retail
SO-2151,20-Mar-2025,Delta Chair,N.,13,"$7,074.39",Retail
SO-2152,27-Mar-2025,Fjord Table,West,7,"$3,402.36",Online
SO-2153,13-Mar-2025,Aurora Lamp,S.,12,"$1,841.80",Wholesale
SO-2154,03-Mar-2025,Fjord Table,S.,2,"$1,118.55",Wholesale
SO-2155,16-Mar-2025,Cedar Shelf,N.,13,"$6,588.99",Retail
SO-2156,09-Mar-2025,Delta Chair,East,6,3541.31,Online
SO-2157,11-Mar-2025,Aurora Lamp,South,8,2791.86,Wholesale
SO-2158,02-Mar-2025,Delta Chair,N.,14,2675.22,Retail
SO-2159,20-Mar-2025,Fjord Table,east,3,"$1,328.56",Online
SO-2160,17-Mar-2025,Echo Desk,north,9,"$4,636.04",Online
SO-2161,26-Mar-2025,Aurora Lamp,north,7,3000.73,Wholesale
SO-2162,16-Mar-2025,Cedar Shelf,west,8,"$3,832.02",Wholesale
SO-2163,06-Mar-2025,Fjord Table,East,9,"$3,713.34",Retail
SO-2164,09-Mar-2025,Fjord Table,W.,3,$122.12,Online
SO-2165,22-Mar-2025,Beacon Lamp,south,14,876.58,Wholesale
SO-2166,12-Mar-2025,Beacon Lamp,W.,11,"$5,556.44",Retail
SO-2167,22-Mar-2025,Cedar Shelf,North,3,"$1,208.32",Retail
SO-2168,06-Mar-2025,Cedar Shelf,east,6,936.44,Retail
SO-2169,19-Mar-2025,Echo Desk,north,4,1344.15,Retail
SO-2170,02-Mar-2025,Beacon Lamp,east,3,1045.74,Wholesale
SO-2171,17-Mar-2025,Aurora Lamp,West,8,"$3,334.38",Online
SO-2172,28-Mar-2025,Echo Desk,west,11,"$4,417.04",Wholesale
SO-2173,17-Mar-2025,Echo Desk,north,8,853.49,Retail
SO-2174,09-Mar-2025,Cedar Shelf,east,15,1646.44,Online
SO-2175,24-Mar-2025,Cedar Shelf,W.,3,$232.41,Wholesale
SO-2176,27-Mar-2025,Cedar Shelf,West,12,"$6,260.30",Retail
SO-2177,28-Mar-2025,Beacon Lamp,S.,14,2472.79,Wholesale
SO-2178,15-Mar-2025,Aurora Lamp,West,2,$475.86,Wholesale
SO-2179,19-Mar-2025,Cedar Shelf,west,6,$511.20,Wholesale
